title,pubDate,guid,link,description
Autism football club helped rekindle my Premiership dream,"Mon, 16 May 2022 21:45:53 GMT",https://www.bbc.co.uk/news/uk-scotland-61471067,https://www.bbc.co.uk/news/uk-scotland-61471067?at_medium=RSS&at_campaign=KARANGA,Charlie struggled to fit in at other football clubs until he started playing for Team United.
Ukraine Eurovision win: Presenter hosting from bunker jumps for joy,"Mon, 16 May 2022 09:45:39 GMT",https://www.bbc.co.uk/news/world-europe-61465119,https://www.bbc.co.uk/news/world-europe-61465119?at_medium=RSS&at_campaign=KARANGA,Timur Miroshnychenko tells BBC Breakfast he hopes the country will be able to host next year.
Full lunar eclipse creates rare super blood Moon,"Mon, 16 May 2022 04:27:23 GMT",https://www.bbc.co.uk/news/world-61461082,https://www.bbc.co.uk/news/world-61461082?at_medium=RSS&at_campaign=KARANGA,Its hue was created by sunlight being projected through the Earth's atmosphere onto the Moon.
The 'village' that got me off drink and drugs,"Tue, 17 May 2022 01:53:33 GMT",https://www.bbc.co.uk/news/uk-61309894,https://www.bbc.co.uk/news/uk-61309894?at_medium=RSS&at_campaign=KARANGA,How addiction support in a corner of north-west England caught the eye of the government's senior drug advisor.
Anti-abortion groups target women with misleading ads,"Mon, 16 May 2022 23:34:27 GMT",https://www.bbc.co.uk/news/health-61320202,https://www.bbc.co.uk/news/health-61320202?at_medium=RSS&at_campaign=KARANGA,Abortion providers describe a battle to put out accurate information.
US midterm elections- a simple guide,"Mon, 16 May 2022 23:48:22 GMT",https://www.bbc.co.uk/news/world-us-canada-61274333,https://www.bbc.co.uk/news/world-us-canada-61274333?at_medium=RSS&at_campaign=KARANGA,"Two years after Joe Biden was elected, American voters return to the polls this November."
Jake Daniels: Why Blackpool forward's decision is a watershed moment for British football,"Mon, 16 May 2022 19:51:24 GMT",https://www.bbc.co.uk/sport/football/61471763,https://www.bbc.co.uk/sport/football/61471763?at_medium=RSS&at_campaign=KARANGA,Why Jake Daniels decision to publicly come out is a watershed moment for British football.
Will swapping out electric car batteries catch on?,"Mon, 16 May 2022 23:05:24 GMT",https://www.bbc.co.uk/news/business-61310513,https://www.bbc.co.uk/news/business-61310513?at_medium=RSS&at_campaign=KARANGA,One Chinese carmaker has plans for thousands of stations in Europe where you can switch batteries.
Northern Ireland: Could the EU and UK face a trade war?,"Mon, 16 May 2022 23:02:10 GMT",https://www.bbc.co.uk/news/business-61466142,https://www.bbc.co.uk/news/business-61466142?at_medium=RSS&at_campaign=KARANGA,"As tensions build over Northern Ireland, concerns of a trade war between the EU and UK have surfaced."
NFHS-5: India's preference for sons over daughters remains,"Tue, 17 May 2022 01:09:15 GMT",https://www.bbc.co.uk/news/world-asia-india-61462052,https://www.bbc.co.uk/news/world-asia-india-61462052?at_medium=RSS&at_campaign=KARANGA,Nearly 80% of those who took part in a government survey said they wanted at least one son in their lifetime.
Julia James murder: How gamekeeper's photo helped catch killer,"Mon, 16 May 2022 15:58:55 GMT",https://www.bbc.co.uk/news/uk-england-kent-61437552,https://www.bbc.co.uk/news/uk-england-kent-61437552?at_medium=RSS&at_campaign=KARANGA,Julia James' smartwatch and a chance previous encounter helped her colleagues catch her killer.
Jake Daniels: Gary Lineker says forward will be 'massively accepted' after coming out,"Mon, 16 May 2022 22:27:23 GMT",https://www.bbc.co.uk/sport/football/61472894,https://www.bbc.co.uk/sport/football/61472894?at_medium=RSS&at_campaign=KARANGA,"Gary Lineker expects other footballers to follow Jake Daniels in coming out, while others point to a landmark announcement for football."
Newcastle 2-0 Arsenal: Gunners' top-four hopes dealt huge blow with loss,"Mon, 16 May 2022 21:02:40 GMT",https://www.bbc.co.uk/sport/football/61375035,https://www.bbc.co.uk/sport/football/61375035?at_medium=RSS&at_campaign=KARANGA,Arsenal's hopes of finishing in the Premier League top four are dealt a huge blow as they are well beaten by Newcastle at St James' Park.
Chelsea takeover: Government ministers fear sale of club to Todd Boehly consortium could 'fall apart',"Mon, 16 May 2022 23:01:08 GMT",https://www.bbc.co.uk/sport/football/61467164,https://www.bbc.co.uk/sport/football/61467164?at_medium=RSS&at_campaign=KARANGA,"Ministers are worried a £4.25bn deal to buy Chelsea may be at risk of ""falling apart"" due to a lack of consensus with the club over the proceeds of any sale, the BBC has learned."
Jurgen Klopp: Liverpool boss on booing of national anthem at FA Cup final,"Mon, 16 May 2022 15:11:41 GMT",https://www.bbc.co.uk/sport/av/football/61470437,https://www.bbc.co.uk/sport/av/football/61470437?at_medium=RSS&at_campaign=KARANGA,"Liverpool boss Jurgen Klopp says fans booing the national anthem before the FA Cup final was ""not something I enjoyed"" but that they ""wouldn't do it without a reason""."
Queen's and Eastbourne to keep full ATP ranking points but Wimbledon decision still under review,"Mon, 16 May 2022 18:55:31 GMT",https://www.bbc.co.uk/sport/tennis/61472534,https://www.bbc.co.uk/sport/tennis/61472534?at_medium=RSS&at_campaign=KARANGA,This summer's tournaments at Queen's and Eastbourne will not be stripped of ATP ranking points over a decision to ban players from Russia and Belarus.
"Real Madrid expect Kylian Mbappe decision over transfer within weeks, says Guillem Balague","Mon, 16 May 2022 21:03:27 GMT",https://www.bbc.co.uk/sport/football/61473632,https://www.bbc.co.uk/sport/football/61473632?at_medium=RSS&at_campaign=KARANGA,"Real Madrid are confident Kylian Mbappe will announce his decision to join them from Paris St-Germain within the next fortnight, reports Guillem Balague."
Marianna Vyshemirsky: 'My picture was used to spread lies about the war',"Mon, 16 May 2022 23:51:54 GMT",https://www.bbc.co.uk/news/blogs-trending-61412773,https://www.bbc.co.uk/news/blogs-trending-61412773?at_medium=RSS&at_campaign=KARANGA,A pregnant woman fleeing a bombed maternity hospital was targeted by a Russian disinformation campaign.
What sanctions are being imposed on Russia over Ukraine invasion?,"Mon, 16 May 2022 13:39:27 GMT",https://www.bbc.co.uk/news/world-europe-60125659,https://www.bbc.co.uk/news/world-europe-60125659?at_medium=RSS&at_campaign=KARANGA,Western nations have imposed severe sanctions on Russia over its invasion of Ukraine.
